experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
14,1,1,1,0.005469999135141084,35.748146570315406,59.107959509,0.9887402200816446,0,2024-09-11-07-06-35,9.317922735221261e-05,0,0,1.0974759482968766
15,1,1,1,0.0069097963781491935,36.03812582859756,55.163800955,0.9907831900520732,0,2024-09-11-07-08-01,7.566515440393936e-05,0,0,1.1604268185896036
16,1,1,1,0.009089421982483758,36.6822936812702,52.532156706,0.9847487683475303,0,2024-09-11-07-09-20,0.00011061643525702129,0,0,1.4935697962384953
17,1,1,1,0.008808044024006662,36.24048472629789,57.477156162,0.9897126334891232,0,2024-09-11-07-10-37,8.123742355674154e-05,0,0,1.1118044934131184
18,1,1,1,0.007684304140542785,36.464163163095,56.630944491,0.98807140756454,0,2024-09-11-07-12-01,7.281464332240037e-05,0,0,1.182772842103514
19,1,1,1,0.005450257143494392,35.919436694115255,58.102247476,0.9911351077346263,0,2024-09-11-07-13-23,0.00010233092607190763,0,0,1.1758614775658345
20,1,1,1,0.00503129664844061,36.29145121639018,66.021057844,0.9897157156386726,0,2024-09-11-07-14-47,0.00010676258968799348,0,0,1.3119867864080816
21,1,1,1,0.009859736191851298,35.91608089632365,56.910440922,0.9911482207099538,0,2024-09-11-07-16-22,4.863722157293507e-05,0,0,1.1628890606356428
22,1,1,1,0.01570383854124289,35.89036056949736,50.765720129,0.987793624130868,0,2024-09-11-07-17-45,0.0001292032255840313,0,0,1.2276768752349752
23,1,1,1,0.009861936207557525,35.92936047978471,49.819979429,0.9886850131336937,0,2024-09-11-07-18-59,0.00013059416867884334,0,0,1.1778412127032611
24,1,1,1,0.009039297049196334,35.933980096389575,60.972928524,0.9891089403695075,0,2024-09-11-07-20-12,0.00010693099883209923,0,0,1.1498622124459954
25,1,1,1,0.00748665667029108,35.36556681487992,55.817004442,0.9837875470451055,0,2024-09-11-07-21-40,0.00015310049616810105,0,0,1.3214265591402419
26,1,1,1,0.014781827305188715,36.43347253551964,51.765584468,0.9896900411848514,0,2024-09-11-07-23-02,0.00014141041901719222,0,0,1.273308341284818
27,1,1,1,0.004353253346918797,36.26914660518364,65.51022625,0.9884622330543349,0,2024-09-11-07-24-17,9.262195807291512e-05,0,0,1.0550473424098077
28,1,1,1,0.006869374918956384,36.03446185241997,56.473716975,0.9907758605266169,0,2024-09-11-07-25-52,9.541216658975096e-05,0,0,1.0975008779815811
29,1,1,1,0.009201983090477248,35.869523937300805,56.984308004,0.9906505141931211,0,2024-09-11-07-27-14,0.00015539935598919545,0,0,1.280283712462719
30,1,1,1,0.008922928968646791,35.762557209703125,59.643385888,0.9896813581450934,0,2024-09-11-07-28-37,9.60859986771169e-05,0,0,1.1894275417836688
31,1,1,1,0.007913919314323774,35.69159916540489,53.457957744,0.9904319534582074,0,2024-09-11-07-30-03,0.00012301218014849444,0,0,1.2917800753326347
