experiment_id,num_segments,avr_state_approx_error,planning_success,dlo_simplification_time,urdf_generation_time,planning_time_ompl,planning_time_trajopt,total_planning_time,total_process_time,ompl_path_length,trajopt_path_length
27,10,0.000157471198732176,1,0.015791446,0.016652613,0.331602154,1.164402331,1.496004485,1.528448544,0.8854135829069006,0.8209985782516052
28,10,0.000157471198732176,1,0.015623583,0.016624638,0.407916563,1.233227243,1.641143806,1.673392027,0.8213870715337827,0.8022471263264143
29,10,0.000157471198732176,1,0.016089673000000002,0.017203635,0.42506825400000003,1.142374533,1.567442787,1.600736095,0.8479558867825974,0.8377927660425707
30,10,0.000157471198732176,1,0.015588865,0.016586538999999997,0.390756437,1.177275506,1.568031943,1.600207347,0.8263391480448997,0.8015863679186438
31,10,0.000157471198732176,1,0.015739126,0.017275966,0.07493359100000001,0.914660844,0.989594435,1.022609527,1.0369611286036686,0.8447354565193654
32,10,0.000157471198732176,1,0.015721459,0.017395612,0.057406733,1.237282245,1.2946889780000002,1.327806049,1.2162129732349731,1.0616250070346136
33,10,0.000157471198732176,1,0.015763529000000002,0.01750975,0.44738471500000004,1.31362551,1.7610102250000002,1.7942835040000003,0.8536107703929298,0.7982597503734068
34,10,0.000157471198732176,1,0.016593101000000002,0.0175382,0.08076066,0.8605819739999999,0.941342634,0.9754739349999999,1.178963359682624,0.8209475898177127
35,10,0.000157471198732176,1,0.015558697,0.016722331,0.066844786,1.387677482,1.454522268,1.4868032960000002,1.0573065998084743,0.8014209489637037
36,10,0.000157471198732176,1,0.015866284,0.017511693000000002,0.064461781,1.285625356,1.350087137,1.383465114,1.0771491874452752,0.9286880639341387
37,10,0.000157471198732176,1,0.016490597000000003,0.017281748,0.08210009700000001,0.984855221,1.066955318,1.100727663,1.08665463430532,0.888439990556833
38,10,0.000157471198732176,1,0.015715274,0.016663564000000002,0.071226151,1.327013481,1.3982396320000001,1.4306184700000002,1.122488140777721,0.8876931685254839
39,10,0.000157471198732176,1,0.015708127,0.016879572,0.070525776,1.183725995,1.254251771,1.28683947,1.1742171038076228,0.9903393703464906
40,10,0.000157471198732176,1,0.015601633,0.016679881,0.06891921999999999,1.17181539,1.2407346099999998,1.2730161239999997,1.0554848439718485,0.867745260640881
41,10,0.000157471198732176,1,0.015734128,0.016822781,0.0651135,0.906383015,0.971496515,1.004053424,0.9480022613070181,0.8545232385922251
42,10,0.000157471198732176,1,0.015698774,0.016905602999999998,0.081586218,0.9729379709999999,1.054524189,1.0871285659999999,1.0693544196082219,0.8930564924058183
43,10,0.000157471198732176,1,0.015741812,0.048281235000000006,0.084560577,1.319441857,1.404002434,1.468025481,1.07299327061235,0.9174180187334741
44,10,0.000157471198732176,1,0.015785966,0.017547630999999998,0.080169081,1.458971837,1.539140918,1.572474515,1.054550858460713,0.8710827902481123
45,10,0.000157471198732176,1,0.016083075000000002,0.017262604,0.074490148,1.286924575,1.361414723,1.394760402,1.0810622133599377,0.8646779538546211
46,10,0.000157471198732176,1,0.01579433,0.017378747,0.405560568,1.313521751,1.719082319,1.752255396,0.8413785043976492,0.8416790914236046
47,10,0.000157471198732176,1,0.016141984,0.017779029000000002,0.053224429000000004,1.211185462,1.264409891,1.298330904,1.0379703990748974,0.8285483215201149
48,10,0.000157471198732176,1,0.016162046,0.017724999,0.086667297,1.0342213340000002,1.1208886310000001,1.154775676,1.1729478795286459,0.8804051697644789
49,10,0.000157471198732176,1,0.016166525,0.017643842,0.541697652,1.118129829,1.6598274809999998,1.6936378479999998,0.8096077752108896,0.801291051000265
50,10,0.000157471198732176,1,0.016075462000000002,0.017241532,0.07780656799999999,1.101409979,1.179216547,1.212533541,1.2741839844428957,0.9085220635116213
51,10,0.000157471198732176,1,0.01618292,0.017253684,0.409325425,1.0440527400000001,1.4533781650000002,1.4868147690000002,0.8743757446058792,0.8350758947169125
52,10,0.000157471198732176,1,0.016222038999999997,0.017230956,0.382395254,1.429999849,1.812395103,1.845848098,0.8330774291740136,0.827573941718502
53,10,0.000157471198732176,1,0.015822801,0.018047557000000002,0.082817622,1.105994077,1.1888116990000002,1.222682057,1.027836658795885,0.8669982752611838
54,10,0.000157471198732176,1,0.015635903,0.016780803,0.377936395,1.210779407,1.5887158019999998,1.6211325079999999,0.8148795321880539,0.8305252695943871
55,10,0.000157471198732176,1,0.015891882,0.016961049,0.075594681,0.9551248880000001,1.030719569,1.0635725,1.0981879227243156,0.8613456726703085
56,10,0.000157471198732176,1,0.015723176000000002,0.016766831,0.084571824,1.186569907,1.271141731,1.303631738,1.03899686545461,0.826974930066885
57,10,0.000157471198732176,1,0.015845744,0.016807659000000003,0.474111992,1.280188956,1.754300948,1.786954351,0.8077648080950232,0.8135935143281311
58,10,0.000157471198732176,1,0.015603573,0.01717362,0.06643296800000001,0.89170158,0.958134548,0.990911741,0.9970127760038028,0.9285624717866637
59,10,0.000157471198732176,1,0.016014987,0.017535881,0.09255777899999999,0.913424875,1.005982654,1.0395335220000002,1.0997329246424474,0.8709588374144367
60,10,0.000157471198732176,1,0.015868849,0.017273077,0.06169495,0.972921694,1.034616644,1.06775857,1.1084682567193769,0.8474022219338453
61,10,0.000157471198732176,1,0.015899265,0.017289741,0.39998242900000003,1.1500378089999999,1.5500202379999999,1.5832092439999998,0.8546268049563258,0.8056860777521164
62,10,0.000157471198732176,1,0.022311684,0.016936165,0.453683596,1.3653062219999998,1.818989818,1.858237667,0.8364588055626122,0.8351939240551586
63,10,0.000157471198732176,1,0.016298529,0.017376570999999997,0.073532405,1.614441712,1.687974117,1.721649217,1.07859269539073,0.9262151280955089
64,10,0.000157471198732176,1,0.015647691,0.016805631,0.063200211,0.914060213,0.977260424,1.009713746,1.0555583139777085,0.8719824020879914
65,10,0.000157471198732176,1,0.016291518,0.017508669,0.060939712,0.914541304,0.975481016,1.009281203,1.0611512050392562,0.8720881933215093
66,10,0.000157471198732176,1,0.015754356,0.016826187,0.419798189,1.324020515,1.743818704,1.7763992469999998,0.8547911865700213,0.8188370876845589
67,10,0.000157471198732176,1,0.015788844,0.016902294999999998,0.08940158,1.150825489,1.2402270690000001,1.272918208,1.0480804929358998,0.8205738523008822
68,10,0.000157471198732176,1,0.015765513000000002,0.017030767999999998,0.087803314,1.249792124,1.3375954380000001,1.3703917190000001,1.2009572610005732,0.8594952586780389
69,10,0.000157471198732176,1,0.015741703,0.017439527,0.361957537,1.136042749,1.498000286,1.531181516,0.8014177091097568,0.8171108303805923
70,10,0.000157471198732176,1,0.015873035,0.017424582999999997,0.058693761000000004,0.887346174,0.946039935,0.979337553,1.1135513631427691,0.911522235097041
71,10,0.000157471198732176,1,0.016756919,0.017761138,0.084249764,1.2800266,1.364276364,1.398794421,1.0291806290400534,0.8246888661358088
72,10,0.000157471198732176,1,0.015890386,0.017311891,0.088648418,0.8677927019999999,0.9564411199999999,0.9896433969999999,1.0811129421963772,0.8561574774186228
73,10,0.000157471198732176,1,0.015989605,0.016956902,0.059536611,1.09972959,1.1592662009999999,1.1922127079999998,1.1150544447118174,0.8788911227009922
74,10,0.000157471198732176,1,0.01604701,0.017022025,0.065903927,1.0695058,1.1354097269999999,1.168478762,1.1813270769454303,0.8964084288625497
